Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Year,URL,Content Type
Integrated intrusion detection design with discretion of leading agent using machine learning for efficient MANET system,Scientific Reports,,,,10.1038/s41598-025-89221-8,K. S. Nirmala BaiDr M.V. Subramanyam,2025,https://link.springer.com/article/10.1038/s41598-025-89221-8,Article
FP $$^2$$ -MIA: A Membership Inference Attack Free of&#xa0;Posterior Probability in&#xa0;Machine Unlearning,Provable and Practical Security,,,,10.1007/978-3-031-20917-8_12,Zhaobo LuYilei WangQingzhe LvMinghao ZhaoTiancai Liang,2022,https://link.springer.com/chapter/10.1007/978-3-031-20917-8_12,Conference paper
How to&#xa0;Forget Clients in&#xa0;Federated Online Learning to&#xa0;Rank?,Advances in Information Retrieval,,,,10.1007/978-3-031-56063-7_7,Shuyi WangBing LiuGuido Zuccon,2024,https://link.springer.com/chapter/10.1007/978-3-031-56063-7_7,Conference paper
"Ethical, Privacy, and Regulatory Considerations",Artificial Intelligence in Genomics,,,,10.1007/978-3-032-25486-3_6,Khalid ShaikhRohit ThankiSejal Shah,2026,https://link.springer.com/chapter/10.1007/978-3-032-25486-3_6,Chapter
Responsible AI and Governance,Driving Digital Transformation with Microsoft Foundry,,,,10.1007/979-8-8688-2479-1_6,Mezba Uddin,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2479-1_6,Chapter
Artificial intelligence security and privacy: a survey,Science China Information Sciences,,,,10.1007/s11432-025-4388-5,Xinlei HeGuowen XuXingshuo HanQian WangLingchen ZhaoChao ShenChenhao LinZhengyu ZhaoQian LiLe YangShouling JiShaofeng LiHaojin ZhuZhibo WangRui ZhengTianqing ZhuQi LiChaoxiang HeQifan WangHongsheng HuShuo WangShi-Feng SunHongwei YaoZhan QinKai ChenYue ZhaoHongwei LiXinyi HuangDengguo Feng,2025,https://link.springer.com/article/10.1007/s11432-025-4388-5,Article
Federated Learning for&#xa0;Recommender Systems: Advances and&#xa0;Perspectives,Federated Learning Systems,,,,10.1007/978-3-031-78841-3_5,Vasileios PerifanisNikolaos PavlidisAndreas SendrosPavlos S. Efraimidis,2025,https://link.springer.com/chapter/10.1007/978-3-031-78841-3_5,Chapter
Anomaly Detection in Integrated Flexible Manufacturing Systems: Addressing Class Imbalance with Machine Learning Techniques in Cyber-Physical Systems,AI and Cyber Security in Cyber-Physical Systems,,,,10.1007/978-3-032-09656-2_6,Paras GargArvind KeprateGunjan Soni,2026,https://link.springer.com/chapter/10.1007/978-3-032-09656-2_6,Chapter
Human-Centric Multimodal Machine Learning: Recent Advances and Testbed on AI-Based Recruitment,SN Computer Science,,,,10.1007/s42979-023-01733-0,Alejandro PeñaIgnacio SernaAythami MoralesJulian FierrezAlfonso OrtegaAinhoa HerrarteManuel AlcantaraJavier Ortega-Garcia,2023,https://link.springer.com/article/10.1007/s42979-023-01733-0,Article
Ethics of&#xa0;AI and&#xa0;Games,Artificial Intelligence and Games,,,,10.1007/978-3-031-83347-2_15,Georgios N. YannakakisJulian Togelius,2025,https://link.springer.com/chapter/10.1007/978-3-031-83347-2_15,Chapter
Quantum-enhanced blockchain federated learning via quantum Byzantine agreement,Science China Information Sciences,,,,10.1007/s11432-025-4471-7,Hao-Wen LiuZhi-Ping LiuHua-Lei YinZeng-Bing Chen,2025,https://link.springer.com/article/10.1007/s11432-025-4471-7,Article
"Federated Learning in Modern Education: Balancing Privacy, Scalability, and Effectiveness",Federated Learning Applications in the Industrial Internet of Everything (IoE),,,,10.1007/978-3-031-99270-4_11,Rita GanatraMonica GahlawatChetan R. Dudhagara,2025,https://link.springer.com/chapter/10.1007/978-3-031-99270-4_11,Chapter
Securing GenAI Deployments and&#xa0;Preventing Misuse,Generative AI in Cybersecurity,,,,10.1007/978-3-032-05250-6_4,Leslie F. Sikos,2025,https://link.springer.com/chapter/10.1007/978-3-032-05250-6_4,Chapter
AI Governance and Risk Management,AI Strategy and Security,,,,10.1007/979-8-8688-1733-5_5,Donnie W. Wendt,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1733-5_5,Chapter
AI and Self Reflection,Artificial Intelligence in HCI,,,,10.1007/978-3-031-93412-4_17,AlAnoud BindayelHoda ElsayedMuhammad Umair Khan,2025,https://link.springer.com/chapter/10.1007/978-3-031-93412-4_17,Conference paper
SecureFed+ a federated learning framework with adaptive gradient clipping and encrypted aggregation for credit card fraud detection,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-026-03081-w,T. ManonmaniN. UmakanthS. N. KumarS. KannadhasanS. K. HareniP. Shree Suha Tharishana,2026,https://link.springer.com/article/10.1007/s13042-026-03081-w,Article
"A survey on group fairness in federated learning: challenges, taxonomy of solutions and directions for future research",Artificial Intelligence Review,,,,10.1007/s10462-025-11475-5,Teresa SalazarHelder AraujoAlberto CanoPedro Henriques Abreu,2026,https://link.springer.com/article/10.1007/s10462-025-11475-5,Article
ClusLazyFR: An Efficient Federated Recommendation Scheme via&#xa0;User Clustering and&#xa0;Lazy Aggregation,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-032-21168-2_3,Hongyun CaiShuoyan LiuJiaojiao LuEnting Guo,2026,https://link.springer.com/chapter/10.1007/978-3-032-21168-2_3,Conference paper
POSTER: A Server-Side Proactive Defense Framework for&#xa0;Poison-Resilient Federated Learning,Provable and Practical Security,,,,10.1007/978-981-95-2961-2_29,Qingkui ZengZhuotao Lian,2026,https://link.springer.com/chapter/10.1007/978-981-95-2961-2_29,Conference paper
Tackling copyright issues in AI image generation through originality estimation and genericization,Scientific Reports,,,,10.1038/s41598-025-90827-1,Hiroaki Chiba-OkabeWeijie J. Su,2025,https://link.springer.com/article/10.1038/s41598-025-90827-1,Article
Extending Personal Data Sovereignty by Enabling Governance of AI Training on Personal Data,Hybrid Human-AI Collaborative Networks,,,,10.1007/978-3-032-05673-3_2,Vijon BarakuIraklis ParaskakisSimeon VeloudisPoonam Yadav,2026,https://link.springer.com/chapter/10.1007/978-3-032-05673-3_2,Conference paper
"A Comprehensive Survey on Trustworthy Graph Neural Networks: Privacy, Robustness, Fairness, and Explainability",Machine Intelligence Research,,,,10.1007/s11633-024-1510-8,Enyan DaiTianxiang ZhaoHuaisheng ZhuJunjie XuZhimeng GuoHui LiuJiliang TangSuhang Wang,2024,https://link.springer.com/article/10.1007/s11633-024-1510-8,Article
Differential Privacy with&#xa0;Data Removal for&#xa0;Online Happiness Assessment,Web and Big Data,,,,10.1007/978-981-97-7241-4_11,Yanjie LuoLin LiXiaohua WuXiaohui Tao,2024,https://link.springer.com/chapter/10.1007/978-981-97-7241-4_11,Conference paper
"Ethics, Bias, and Responsible Generative AI",Generative AI in R,,,,10.1007/979-8-8688-1763-2_9,Akansha SinghKrishna Kant Singh,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1763-2_9,Chapter
"A review of federated learning: taxonomy, privacy and future directions",Journal of Intelligent Information Systems,,,,10.1007/s10844-023-00797-x,Hashan RatnayakeLin ChenXiaofeng Ding,2023,https://link.springer.com/article/10.1007/s10844-023-00797-x,Article
Data Privacy in Enterprise AI,Enterprise AI,,,,10.1007/978-3-032-01940-0_5,Neil G. MarchantYing ZhaoBenjamin I.  P. RubinsteinOlga Ohrimenko,2025,https://link.springer.com/chapter/10.1007/978-3-032-01940-0_5,Chapter
Large language models in biomedicine and healthcare,npj Artificial Intelligence,,,,10.1038/s44387-025-00047-1,Juexiao ZhouHaoyang LiSiyuan ChenZhangtianyi ChenZhongyi HanXin Gao,2025,https://www.nature.com/articles/s44387-025-00047-1,Article
Learning to&#xa0;Obstruct Few-Shot Image Classification over&#xa0;Restricted Classes,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-72661-3_2,Amber Yijia ZhengChiao-An YangRaymond A. Yeh,2025,https://link.springer.com/chapter/10.1007/978-3-031-72661-3_2,Conference paper
Conceptual Misalignment in&#xa0;XAI,Responsible AI for Value Creation,,,,10.1007/978-3-032-16886-3_1,Rolf HvidtfeldtMohammad N. S. JahromiÀlex Pujol VidalStine N. ChristensenJeppe Agger NielsenThomas Gammeltoft-HansenThomas PlougThomas B. Moeslund,2026,https://link.springer.com/chapter/10.1007/978-3-032-16886-3_1,Conference paper
Can Federated Models Be Rectified Through Learning Negative Gradients?,Big Data Technologies and Applications,,,,10.1007/978-3-031-52265-9_2,Ahsen TahirZhiyuan TanKehinde O. Babaagba,2024,https://link.springer.com/chapter/10.1007/978-3-031-52265-9_2,Conference paper
"Data science and artificial intelligence for maternal, newborn and child health: scoping review and thematic analysis",BMC Public Health,,,,10.1186/s12889-025-25430-0,Joseph AkuzeGrieven P. OtienoSamson Yohannes AmareBancy NgatiaPhillip WanduruFati Kirakoya-SamadoulougouRornald Muhumuza KananuraAgbessi AmouzouAbiy Seifu EstifanosEric O. Ohuma,2025,https://link.springer.com/article/10.1186/s12889-025-25430-0,Article
Problem-Solving and Public Services,Problem-solving and Learning for Public Services and Public Management,,,,10.1007/978-3-031-43230-9_2,Tony KinderJari Stenvall,2024,https://link.springer.com/chapter/10.1007/978-3-031-43230-9_2,Chapter
AI Design Principles for&#xa0;Compliance-Driven Industrial IoT Systems,"Advances on P2P, Parallel, Grid, Cloud and Internet Computing",,,,10.1007/978-3-032-10344-4_22,Flora AmatoRajib Chandra GhoshAlberto MoccardiMarcello Pelosi,2026,https://link.springer.com/chapter/10.1007/978-3-032-10344-4_22,Conference paper
Beyond the Human Subject: Reconceptualizing Cyberlaw through Virtual Ontology and Algorithmic Epistemology in the Web 3.0 Era,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,,,,10.1007/s11196-025-10376-8,Anggita Doramia Lumbanraja,2025,https://link.springer.com/article/10.1007/s11196-025-10376-8,Article
China’s AI Safety Ecosystem and Implications for International AI Governance,The Artificial Intelligence Revolution,,,,10.1007/978-3-032-11814-1_4,Jason ZhouKwan Yee NgBrian Tse,2026,https://link.springer.com/chapter/10.1007/978-3-032-11814-1_4,Chapter
The Transformative Influence of Generative AI on Teaching and Learning,The Second International Symposium on Generative AI and Education (ISGAIE’2025),,,,10.1007/978-3-031-98476-1_2,Khulekani MavundlaAbdultaofeek AbayomiEmmanuel AdetibaOlutoyin OlaitanSurendra Thakur,2025,https://link.springer.com/chapter/10.1007/978-3-031-98476-1_2,Conference paper
Tighter privacy auditing of differentially private stochastic gradient descent in the hidden state threat model,Scientific Reports,,,,10.1038/s41598-026-38537-0,Apeksha Bhuekar,2026,https://link.springer.com/article/10.1038/s41598-026-38537-0,Article
Automation in the Era of ML and AI,Azure Arc Systems Management,,,,10.1007/978-1-4842-9480-2_9,Ramona Maxwell,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9480-2_9,Chapter
A survey on privacy-preserving federated learning against poisoning attacks,Cluster Computing,,,,10.1007/s10586-024-04629-7,Feng XiaWenhao Cheng,2024,https://link.springer.com/article/10.1007/s10586-024-04629-7,Article
"Trustworthy federated learning: privacy, security, and beyond",Knowledge and Information Systems,,,,10.1007/s10115-024-02285-2,Chunlu ChenJi LiuHaowen TanXingjian LiKevin I-Kai WangPeng LiKouichi SakuraiDejing Dou,2024,https://link.springer.com/article/10.1007/s10115-024-02285-2,Article
A unified method to revoke the private data of patients in intelligent healthcare with audit to forget,Nature Communications,,,,10.1038/s41467-023-41703-x,Juexiao ZhouHaoyang LiXingyu LiaoBin ZhangWenjia HeZhongxiao LiLongxi ZhouXin Gao,2023,https://link.springer.com/article/10.1038/s41467-023-41703-x,Article
The Human Psyche in the Age of AI,Psychology and Artificial Intelligence,,,,10.1007/978-3-662-73147-5_3,Oliver Hoffmann,2026,https://link.springer.com/chapter/10.1007/978-3-662-73147-5_3,Chapter
Differential privacy-enabled federated learning for secure neural synchronization in protecting industrial data streams,Cluster Computing,,,,10.1007/s10586-025-05609-1,Feifei NiuArindam SarkarSarbajit MannaSoumya ChatterjeeAbdulfattah NoorwaliKamal M. Othman,2025,https://link.springer.com/article/10.1007/s10586-025-05609-1,Article
Graph neural networks: a survey on the links between privacy and security,Artificial Intelligence Review,,,,10.1007/s10462-023-10656-4,Faqian GuanTianqing ZhuWanlei ZhouKim-Kwang Raymond Choo,2024,https://link.springer.com/article/10.1007/s10462-023-10656-4,Article
Artificial Intelligence “Augmenting Human Intelligence. Teaching International Relations Theory with Artificial Intelligence”,The Palgrave Handbook on the Pedagogy of International Relations Theory,,,,10.1007/978-3-031-72072-7_46,Jürgen NeyerBernd FroehlichSassan GholiaghaKatrin GirgensohnDora KieselPatrick RiehmannMitja SienknechtBenno SteinMagdalena Anna Wolska,2024,https://link.springer.com/chapter/10.1007/978-3-031-72072-7_46,Chapter
Scientific Abstracts from the 2024 Conference on Machine Intelligence in Medical Imaging (CMIMI) of the Society for Imaging Informatics in Medicine (SIIM),Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-024-01278-5,,2024,https://link.springer.com/article/10.1007/s10278-024-01278-5,Article
Coordinate-wise monotonic transformations enable privacy-preserving age estimation with 3D face point cloud,Science China Life Sciences,,,,10.1007/s11427-023-2518-8,Xinyu YangRunhan LiXindi YangYong ZhouYi LiuJing-Dong J. Han,2024,https://link.springer.com/article/10.1007/s11427-023-2518-8,Article
Innovation and Use-Value,The Non-Market Economy,,,,10.1007/978-3-032-12567-5_7,Tony Kinder,2026,https://link.springer.com/chapter/10.1007/978-3-032-12567-5_7,Chapter
An Empirical Study of&#xa0;Black-Box Based Membership Inference Attacks on&#xa0;a&#xa0;Real-World Dataset,Foundations and Practice of Security,,,,10.1007/978-3-031-87496-3_9,Yujeong KwonSimon S. WooHyungjoon Koo,2025,https://link.springer.com/chapter/10.1007/978-3-031-87496-3_9,Conference paper
Towards a&#xa0;Responsible AI Adoption/Adaptation (RAA) Ecosystem: Vision and&#xa0;Model to&#xa0;Keep Socio-Technological Balance,Global Internet of Things and Edge Computing Summit,,,,10.1007/978-3-032-09555-8_5,Parwinder SinghAsim Ul HaqMirko Presser,2026,https://link.springer.com/chapter/10.1007/978-3-032-09555-8_5,Conference paper
A review of security threats and privacy issues in federated learning,International Journal of Data Science and Analytics,,,,10.1007/s41060-026-01067-z,Abhishek Kumar AgrahariAarti Gautam DinkerRajendra Bahadur Singh,2026,https://link.springer.com/article/10.1007/s41060-026-01067-z,Article
AI photography and cultural memory: revisualizing the queer histories of Bugis Street in Singapore through layered gazes,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-06473-5,Jiayu Chen,2026,https://link.springer.com/article/10.1057/s41599-025-06473-5,Article
Data Chameleon: A&#xa0;Self-adaptive Synthetic Data Management System,Data and Applications Security and Privacy XXXIX,,,,10.1007/978-3-031-96590-6_3,Qianying LiaoMaarten KestersDimitri Van LanduytWouter Joosen,2025,https://link.springer.com/chapter/10.1007/978-3-031-96590-6_3,Conference paper
Evolutionary Computation and the Reinforcement Learning Problem,Handbook of Evolutionary Machine Learning,,,,10.1007/978-981-99-3814-8_4,Stephen KellyJory Schossau,2024,https://link.springer.com/chapter/10.1007/978-981-99-3814-8_4,Chapter
Fed3C: federated clustering-based centralized classification,Knowledge and Information Systems,,,,10.1007/s10115-025-02650-9,Emin AkpinarBulent BolatMurat Taskiran,2026,https://link.springer.com/article/10.1007/s10115-025-02650-9,Article
Deconstructing the ethics of large language models from long-standing issues to new-emerging dilemmas: a survey,AI and Ethics,,,,10.1007/s43681-025-00797-3,Chengyuan DengYiqun DuanXin JinHeng ChangYijun TianHan LiuYichen Wangkuofeng GaoHenry Peng ZouYiqiao jinYijia XiaoShenghao WuZongxing XieWeimin LyuSihong HeLu ChengHaohan WangJun Zhuang,2025,https://link.springer.com/article/10.1007/s43681-025-00797-3,Article
Enforcing Right to&#xa0;Be Forgotten in&#xa0;Cloud-Based Data Lakes,Advances in Information and Communication,,,,10.1007/978-3-031-53963-3_16,Priyamvada BhardwajSadeq DarrabDavid BroneskeIngo KloseGunter Saake,2024,https://link.springer.com/chapter/10.1007/978-3-031-53963-3_16,Conference paper
Adaptive reinforced federated graph domain generalization with dynamic aggregation strategy,Frontiers of Computer Science,,,,10.1007/s11704-025-41295-3,Zhen-Hui PanYa-Wen LiZe-Li GuanXiao-Long Meng,2025,https://link.springer.com/article/10.1007/s11704-025-41295-3,Article
Introduction,Data Privacy and Data Governance,,,,10.1007/978-981-95-5787-5_1,Xiaofeng Meng,2026,https://link.springer.com/chapter/10.1007/978-981-95-5787-5_1,Chapter
The Psychology of Trust: How Safe Do We Feel with AI?,Psychology and Artificial Intelligence,,,,10.1007/978-3-662-73147-5_6,Oliver Hoffmann,2026,https://link.springer.com/chapter/10.1007/978-3-662-73147-5_6,Chapter
A Guide to Constructing Indigenous Statistical Spaces for Prevention Science&#xa0;Research,Prevention Science,,,,10.1007/s11121-026-01911-5,Valentín Quiroz de la Sierra,2026,https://link.springer.com/article/10.1007/s11121-026-01911-5,Article
The mosaic memory of large language models,Nature Communications,,,,10.1038/s41467-026-68603-0,Igor ShilovMatthieu MeeusYves-Alexandre de Montjoye,2026,https://link.springer.com/article/10.1038/s41467-026-68603-0,Article
A survey on cross-user federated recommendation,Science China Information Sciences,,,,10.1007/s11432-024-4310-7,Enyue YangYudi XiongWei YuanWeike PanQiang YangZhong Ming,2025,https://link.springer.com/article/10.1007/s11432-024-4310-7,Article
Repressive Robots and the Radical Possibilities of Emancipated Automation,The Political Economy of Robots,,,,10.1007/978-3-031-95171-8_10,Sean Noah WalshBryant William Sculos,2025,https://link.springer.com/chapter/10.1007/978-3-031-95171-8_10,Chapter
Privacy Computing Techniques,Privacy Computing,,,,10.1007/978-981-99-4943-4_4,Fenghua LiHui LiBen Niu,2024,https://link.springer.com/chapter/10.1007/978-981-99-4943-4_4,Chapter
Artificial Intelligence in Medicine and Privacy Preservation,Artificial Intelligence in Medicine,,,,10.1007/978-3-030-64573-1_261,Alexander ZillerJonathan Passerat-PalmbachAndrew TraskRickmer BrarenDaniel RueckertGeorgios Kaissis,2022,https://link.springer.com/rwe/10.1007/978-3-030-64573-1_261,Reference work entry
LLM Challenges and Solutions,Large Language Models: A Deep Dive,,,,10.1007/978-3-031-65647-7_6,Uday KamathKevin KeenanGarrett SomersSarah Sorenson,2024,https://link.springer.com/chapter/10.1007/978-3-031-65647-7_6,Chapter
"Revolutionising anomaly detection: a hybrid framework for anomaly detection integrating isolation forest, autoencoder, and Conv. LSTM",Knowledge and Information Systems,,,,10.1007/s10115-025-02580-6,Ankit KumarAbhishek KumarRohit RajaAmit Kumar DewanganManoj KumarAradhana SoniDheeraj AgarwalAbdul Khader Jilani Saudagar,2025,https://link.springer.com/article/10.1007/s10115-025-02580-6,Article
Conceptual Background,Strategic Renewal of Born-Digital Companies,,,,10.1007/978-3-658-51626-0_2,Lennart Paul Phillipp Gaida,2026,https://link.springer.com/chapter/10.1007/978-3-658-51626-0_2,Chapter
A comprehensive survey on privacy-preserving recommender system in pervasive environments,CCF Transactions on Pervasive Computing and Interaction,,,,10.1007/s42486-026-00235-1,Ibtissem Ben OuhibaZahra KodiaNadia Ben Azzouna,2026,https://link.springer.com/article/10.1007/s42486-026-00235-1,Article
Privacy-preserving recommendation with coarse-grained spatiotemporal contexts,Science China Information Sciences,,,,10.1007/s11432-024-4327-9,Lei ChenChen GaoJiahuan LeiXiaoyi DuXinlei ShiHengliang LuoDepeng JinYong LiMeng Wang,2025,https://link.springer.com/article/10.1007/s11432-024-4327-9,Article
Robust federated contrastive recommender system against targeted model poisoning attack,Science China Information Sciences,,,,10.1007/s11432-024-4272-y,Wei YuanChaoqun YangLiang QuGuanhua YeQuoc Viet Hung NguyenHongzhi Yin,2025,https://link.springer.com/article/10.1007/s11432-024-4272-y,Article
A Synergy of Spirituality and Technologies Toward&#xa0;a Society 5.0,Place Based Approaches to Sustainability Volume II,,,,10.1007/978-3-031-41610-1_7,Andrea PaesanoMario Risso,2024,https://link.springer.com/chapter/10.1007/978-3-031-41610-1_7,Chapter
A federated learning-based privacy-preserving image processing framework for brain tumor detection from CT scans,Scientific Reports,,,,10.1038/s41598-025-07807-8,Abdullah Al-SalehGhanshyam G. TejaniShailendra MishraSunil Kumar SharmaSeyed Jalaleddin Mousavirad,2025,https://link.springer.com/article/10.1038/s41598-025-07807-8,Article
Prompt Engineering for Safety Red-Teaming: A Case Study on Text-to-Image Diffusion Models,Introduction to Foundation Models,,,,10.1007/978-3-031-76770-8_18,Pin-Yu ChenSijia Liu,2025,https://link.springer.com/chapter/10.1007/978-3-031-76770-8_18,Chapter
On the Trustworthiness Landscape of State-of-the-art Generative Models: A Survey and Outlook,International Journal of Computer Vision,,,,10.1007/s11263-025-02375-w,Mingyuan FanChengyu WangCen ChenYang LiuJun Huang,2025,https://link.springer.com/article/10.1007/s11263-025-02375-w,Article
Privacy-preserving explainable AI: a survey,Science China Information Sciences,,,,10.1007/s11432-024-4123-4,Thanh Tam NguyenThanh Trung HuynhZhao RenThanh Toan NguyenPhi Le NguyenHongzhi YinQuoc Viet Hung Nguyen,2024,https://link.springer.com/article/10.1007/s11432-024-4123-4,Article
Backdoor threats in large language models—a survey,Science China Information Sciences,,,,10.1007/s11432-024-4351-3,Shuai LiuYiheng PanKun HongRuite FeiChenhao LinQian LiChao Shen,2025,https://link.springer.com/article/10.1007/s11432-024-4351-3,Article
A review of large language models and the recommendation task,Discover Artificial Intelligence,,,,10.1007/s44163-025-00334-5,Jacob MunsonThomas CuezzeSiddat NesarDominique Zosso,2025,https://link.springer.com/article/10.1007/s44163-025-00334-5,Article
Space and Critical Pedagogies,Pedagogy of Space and The Global South,,,,10.1007/978-981-97-8768-5_2,Dishari ChattarajArya Parakkate Vijayaraghavan,2024,https://link.springer.com/chapter/10.1007/978-981-97-8768-5_2,Chapter
Emerging trends in federated learning: from model fusion to federated X learning,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-024-02119-1,Shaoxiong JiYue TanTeemu SaravirtaZhiqin YangYixin LiuLauri VasankariShirui PanGuodong LongAnwar Walid,2024,https://link.springer.com/article/10.1007/s13042-024-02119-1,Article
GenAI Model Security,Generative AI Security,,,,10.1007/978-3-031-54252-7_6,Ken HuangBen GoertzelDaniel WuAnita Xie,2024,https://link.springer.com/chapter/10.1007/978-3-031-54252-7_6,Chapter
FedUDA: Towards a&#xa0;Novel Unfairness Distribution Attack Against Federated Learning Models,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-031-93257-1_12,Zihao WangXiaodong FuLi LiuFei DaiJiaman Ding,2026,https://link.springer.com/chapter/10.1007/978-3-031-93257-1_12,Conference paper
Right to Be Forgotten: A Human Rights-Based Approach for Governance in Generative AI,Smart Trends in Computing and Communications,,,,10.1007/978-981-97-1320-2_3,Rita GhialDiksha PundirRajinder Kaur,2024,https://link.springer.com/chapter/10.1007/978-981-97-1320-2_3,Conference paper
On-Device Recommender Systems: A Comprehensive Survey,Data Science and Engineering,,,,10.1007/s41019-025-00308-8,Hongzhi YinLiang QuTong ChenWei YuanRuiqi ZhengJing LongXin XiaYuhui ShiChengqi Zhang,2025,https://link.springer.com/article/10.1007/s41019-025-00308-8,Article
Cross-language hotel review sentiment analysis via multi-agent federated learning with heterogeneous graph attention networks,Scientific Reports,,,,10.1038/s41598-026-41500-8,Xiaofei Han,2026,https://link.springer.com/article/10.1038/s41598-026-41500-8,Article
A Systematic Review of ‘Fair’ AI Model Development for Image Classification and Prediction,Journal of Medical and Biological Engineering,,,,10.1007/s40846-022-00754-z,Ramon CorreaMahtab ShaanHari TrivediBhavik PatelLeo Anthony G. CeliJudy W. GichoyaImon Banerjee,2022,https://link.springer.com/article/10.1007/s40846-022-00754-z,Article
Future Trends in Control Systems: A Journey Through Time,Control Systems: A Historical and Philosophical Perspective,,,,10.1007/978-981-96-7426-8_10,Ali Khaki-Sedigh,2025,https://link.springer.com/chapter/10.1007/978-981-96-7426-8_10,Chapter
Safeguarding large language models: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11389-2,Yi DongRonghui MuYanghao ZhangSiqi SunTianle ZhangChangshun WuGaojie JinYi QiJinwei HuJie MengSaddek BensalemXiaowei Huang,2025,https://link.springer.com/article/10.1007/s10462-025-11389-2,Article
"Navigating Bilingualism: Policies, Practices and Impact on Education",Exploring Bilingualism in Education,,,,10.1007/978-981-97-9354-9_1,Udaya Muthyala,2024,https://link.springer.com/chapter/10.1007/978-981-97-9354-9_1,Chapter
Support of Driving Functions by Digital Maps,Handbook Assisted and Automated Driving,,,,10.1007/978-3-658-45276-6_37,Roland HomeierRoland JentschKatharina JülgeBenjamin LippeltWerner Pöchmüller,2026,https://link.springer.com/chapter/10.1007/978-3-658-45276-6_37,Chapter
Secure Transmission of Human-Centric Information using Two Hidden Layer Neural Synchronization,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,,,10.1007/s40998-024-00750-w,Arindam SarkarMohammad Zubair KhanAbdulfattah Noorwali,2024,https://link.springer.com/article/10.1007/s40998-024-00750-w,Article
Design Models for AI in Public Health,Artificial Intelligence in Public Health,,,,10.1007/978-3-032-15872-7_3,Min Wu,2026,https://link.springer.com/chapter/10.1007/978-3-032-15872-7_3,Chapter
Reinforcement learning-based framework for real-time task scheduling in IoT-Fog-Cloud environments,Cluster Computing,,,,10.1007/s10586-025-05675-5,Zhixin XieYing SuGuangbiao LiuYishi Yang,2025,https://link.springer.com/article/10.1007/s10586-025-05675-5,Article
Right to Be Forgotten in the Age of Machine Learning,Advances in Digital Science,,,,10.1007/978-3-030-71782-7_35,Quang-Vinh Dang,2021,https://link.springer.com/chapter/10.1007/978-3-030-71782-7_35,Conference paper
Why Patient Data Cannot Be Easily Forgotten?,Medical Image Computing and Computer Assisted Intervention – MICCAI 2022,,,,10.1007/978-3-031-16452-1_60,Ruolin SuXiao LiuSotirios A. Tsaftaris,2022,https://link.springer.com/chapter/10.1007/978-3-031-16452-1_60,Conference paper
Communication-Efficient Protocol Designs for Wireless Federated Learning: A PRISMA-Guided Systematic Review,Wireless Personal Communications,,,,10.1007/s11277-026-11946-0,Emmanuel AtebawoneRobert Akromond,2026,https://link.springer.com/article/10.1007/s11277-026-11946-0,Article
Training LLM with Human Feedback,Handbook of Human-Centered Artificial Intelligence,,,,10.1007/978-981-95-3658-0_53,Hirad RezaeiAmin BeheshtiFethi Rabhi,2026,https://link.springer.com/rwe/10.1007/978-981-95-3658-0_53,Reference work entry
"MP-BADNet<span class=""mathjax-tex"">\(^+\)</span>: Secure and effective backdoor attack detection and mitigation protocols among multi-participants in private DNNs",Peer-to-Peer Networking and Applications,,,,10.1007/s12083-022-01377-6,Congcong ChenLifei WeiLei ZhangYa PengJianting Ning,2022,https://link.springer.com/article/10.1007/s12083-022-01377-6,Article
Reinforcement learning enhanced virtual reality training in intelligent family education platforms,Progress in Artificial Intelligence,,,,10.1007/s13748-026-00441-z,Tian ShaoweiLiu Juan,2026,https://link.springer.com/article/10.1007/s13748-026-00441-z,Article
Smart Maintenance and Human Factor Modeling for Aircraft Safety,Applications in Reliability and Statistical Computing,,,,10.1007/978-3-031-21232-1_2,Eric T. T. WongW. Y. Man,2023,https://link.springer.com/chapter/10.1007/978-3-031-21232-1_2,Chapter
Training LLM with Human Feedback,Handbook of Human-Centered Artificial Intelligence,,,,10.1007/978-981-97-8440-0_53-1,Hirad RezaeiAmin BeheshtiFethi Rabhi,2026,https://link.springer.com/rwe/10.1007/978-981-97-8440-0_53-1,Living reference work entry
Artificial Intelligence in Medicine and Privacy Preservation,Artificial Intelligence in Medicine,,,,10.1007/978-3-030-58080-3_261-1,Alexander ZillerJonathan Passerat-PalmbachAndrew TraskRickmer BrarenDaniel RueckertGeorgios Kaissis,2021,https://link.springer.com/rwe/10.1007/978-3-030-58080-3_261-1,Living reference work entry
